Titre de la ressource,Description de la ressource,URL de la ressource,Interne/Externe,Catégorie,Sous-catégorie
Les diététistes du Canada,Trouvez des ressources et des diététistes dans votre région pour faire des choix plus sains en matière d’alimentation. ,https://members.dietitians.ca/DCMember/s/find-dietitian?language=fr&utm_campaign=Find%20a%20Dietitian&utm_medium=secondary%20navigation&utm_source=DC%20Website,Externe,la santé et le bien-être,Nutrition 
Le logement en Ontario,Renseignez-vous sur les programmes conçus pour vous aider à disposer d’un domicile sûr et abordable. ,https://www.ontario.ca/fr/page/le-logement-en-ontario,Interne,le domicile et le logement ,Options de logement 
Logement en location viagère ,"Lisez ce guide pour vous renseigner sur la location viagère et décider si elle peut vous convenir, à vous ou à vos proches. ",https://www.ontario.ca/fr/document/logement-en-location-viagere,Interne,le domicile et le logement ,Options de logement 
Maisons de retraite,"Renseignez-vous sur les services offerts par les maisons de retraite si vous ou une personne proche pouvez vivre avec peu ou pas d’aide extérieure. Obtenez de l’aide pour en choisir une, faire une demande d’admission et connaître les coûts associés. ",https://www.ontario.ca/fr/page/trouver-une-maison-de-retraite,Interne,le domicile et le logement ,Options de logement 
Foyers de soins de longue durée,"Renseignez-vous sur les soins fournis par ces foyers si vous ou une personne proche avez des difficultés à vivre en autonomie. Obtenez de l’aide pour en choisir un, faire une demande et vous préparer à emménager. ",https://www.ontario.ca/fr/page/soins-de-longue-duree-en-ontario,Interne,le domicile et le logement ,Options de logement 
Logement avec services de soutien ,Découvrez les différentes options de logement avec services de soutien disponibles afin de choisir celle adaptée à vos besoins ou à ceux d’une personne proche. ,https://www.ontario.ca/page/supportive-housing-options,Interne,le domicile et le logement ,Options de logement 
Logement social (ou communautaire) ,Renseignez-vous sur les logements locatifs à coût réduit que le gouvernement propose aux ménages à revenu faible ou modeste. ,https://www.ontario.ca/fr/page/le-logement-en-ontario#section-2,Interne,le domicile et le logement ,Options de logement 
Coopérative d’habitation,Renseignez-vous sur les coopératives d’habitation de votre collectivité et sur la procédure de demande d’adhésion si vous souhaitez vivre dans un logement abordable contrôlé par des membres votants. ,https://fhcc.coop/a-propos-de-lhabitation-cooperative/trouver-une-cooperative-dhabitation/,Externe,le domicile et le logement ,Options de logement 
Communautés pour adultes (site en anglais seulement) ,Contactez l’agence immobilière près de chez vous pour en savoir plus sur la vie dans une communauté de personnes retraitées ou semi-retraitées ainsi que sur les activités récréatives et communautaires proposées sur place.  ,https://www.reco.on.ca/RegistrantSearch,Externe,le domicile et le logement ,Options de logement 
Programme de prévention de l’itinérance ,Renseignez-vous sur les programmes et les stratégies visant à prévenir l’itinérance et à aider les personnes sans-abri ou susceptibles de le devenir. ,https://www.ontario.ca/fr/page/lutte-contre-litinerance,Interne,le domicile et le logement ,Options de logement 
Trouver le gestionnaire de services de votre région,"Contactez le gestionnaire de services de votre région pour connaître les programmes de logement, l’aide à la location et les prestations disponibles dans votre collectivité. ",https://www.ontario.ca/fr/page/trouver-le-gestionnaire-de-services-de-votre-region,Interne,le domicile et le logement ,Options de logement 
Services de soutien à domicile et en milieu communautaire,Contactez un fournisseur de soins local pour qu’il vous aide à obtenir et coordonner les soins et les soutiens de santé dont vous avez besoin à domicile. ,https://www.healthcareathome.ca/fr/soins-a-domicile/,Externe,le domicile et le logement ,Soutiens à domicile 
Société canadienne d’hypothèques et de logement : guide sur l’adaptation des logements,Renseignez-vous sur les types de difficultés que les aînés peuvent rencontrer chez eux et la manière de les surmonter. ,https://www.cmhc-schl.gc.ca/fr/professionnels/innovation-et-leadership-dans-le-secteur/expertise-de-lindustrie/logement-pour-aines/maintenir-lautonomie-des-aines-par-ladaptation-des-logements--guide-devaluation-pour-les-aines,Externe,le domicile et le logement ,Soutiens à domicile 
Allocation Canada-Ontario pour le logement ,Contactez le gestionnaire de services de votre région pour savoir si vous êtes admissible au versement de prestations mensuelles destinées à vous aider à payer votre loyer. ,https://www.ontario.ca/fr/page/trouver-le-gestionnaire-de-services-de-votre-region,Interne,le domicile et le logement ,Soutiens à domicile 
Suppléments au loyer et allocations de logement ,"Contactez le gestionnaire de services de votre région pour savoir si vous êtes admissible à une aide à la location, qui vous permettrait de payer une partie de votre loyer.  ",https://www.ontario.ca/fr/page/trouver-le-gestionnaire-de-services-de-votre-region,Interne,le domicile et le logement ,Soutiens à domicile 
Ontario Association of Residents’ Councils  (site en anglais seulement) ,Accédez à un réseau regroupant les conseils des résidents de tous les foyers de soins de longue durée de la province. Ces conseils réunissent des représentants de résidents qui parlent au nom de l’ensemble des résidents afin d’en défendre les intérêts. ,https://www.ontarc.com/,Externe,le domicile et le logement ,Soutiens à domicile 
Conseils des familles Ontario,"Découvrez comment cet organisme travaille main dans la main avec les familles, les conseils des familles et le personnel des foyers de soins de longue durée pour améliorer l’expérience des résidents.  ",https://fco.ngo/fr/,Externe,le domicile et le logement ,Soutiens à domicile 
Programme d’aide à la remise en état des logements ,Obtenez un financement en vue d’effectuer des réparations majeures dans un logement situé dans une réserve pour vous conformer aux normes minimales de salubrité et de sécurité. ,https://www.cmhc-schl.gc.ca/fr/professionnels/financement-de-projets-et-financement-hypothecaire/programmes-de-financement/toutes-les-opportunites-de-financement/programme-daide-a-la-remise-en-etat-des-logements-parel--ordinaire,Externe,le domicile et le logement ,Soutiens à domicile 
Programme d’aide à la vie autonome,Obtenez une aide non médicale et des services de soutien social si vous vivez dans une réserve et que vous avez une maladie chronique ou un handicap. ,https://www.sac-isc.gc.ca/fra/1100100035250/1533317440443,Externe,le domicile et le logement ,Soutiens à domicile 
Rénovations Ontario ,Contactez le gestionnaire de services de votre région pour connaître les prêts à remboursement conditionnel disponibles. Ces prêts vous aideront à effectuer les réparations nécessaires pour améliorer l’accessibilité de votre logement.  ,https://www.ontario.ca/fr/page/trouver-le-gestionnaire-de-services-de-votre-region,Interne,le domicile et le logement ,Aide et soutien d’ordre financier 
Exonération d’impôt foncier pour les personnes âgées ou handicapées,"Si vous possédez une propriété qui héberge des personnes handicapées ou âgées d’au moins 65 ans, vous pourriez bénéficier d’une exonération d’impôt sur une partie de cette propriété.  ",https://www.mpac.ca/fr/MakingChangesUpdates/ExemptionSeniorsandPersonsDisability,Externe,le domicile et le logement ,Aide et soutien d’ordre financier 
Allégement de l’impôt foncier  ,Contactez votre municipalité pour savoir si vous pouvez (à titre de personne âgée à revenu faible ou de personne handicapée) recevoir un soutien face aux augmentations de l’impôt foncier résultant d’une révision de l’évaluation foncière. ,https://www.ontario.ca/fr/page/liste-des-municipalites-de-lontario,Interne,le domicile et le logement ,Aide et soutien d’ordre financier 
Programme de report de l’impôt foncier provincial pour les personnes âgées à faible revenu et les personnes handicapées à faible revenu ,Découvrez comment obtenir un report partiel de l’impôt foncier provincial et de l’impôt scolaire. ,https://www.ontario.ca/fr/document/impot-foncier-provincial/programme-de-report-de-limpot-foncier-provincial-pour-les,Interne,le domicile et le logement ,Aide et soutien d’ordre financier 
Taux légal d’augmentation des loyers ,"Renseignez-vous sur les règles relatives au loyer, notamment le taux légal d’augmentation des loyers et le règlement des différends relatifs au contrôle des loyers. ",https://www.ontario.ca/fr/page/augmentations-loyer-residentielles,Interne,le domicile et le logement ,Relations entre locateurs et locataires 
Tribunaux décisionnels Ontario : Commission de la location immobilière,Renseignez-vous sur la commission qui règle les différends entre locateurs et locataires et qui les informent de leurs droits et de leurs responsabilités.  ,https://tribunalsontario.ca/cli/,Externe,le domicile et le logement ,Relations entre locateurs et locataires 
Loi de 2006 sur la location à usage d’habitation ,Découvrez la loi qui protège les locataires contre les augmentations de loyer et les expulsions illicites. Elle énonce également les droits et les responsabilités des locateurs et des locataires.  ,https://www.ontario.ca/fr/lois/loi/06r17,Interne,le domicile et le logement ,Relations entre locateurs et locataires 
Programmes des centres de vie active pour personnes âgées,"Utilisez notre carte pour trouver des programmes qui promeuvent le mieux-être, les rapports sociaux et l’apprentissage dans votre collectivité.  

Clubs et groupes 

Trouvez des activités sociales et des passe-temps dans votre collectivité par le biais d’organismes, tels que : 

YMCA 

Club Rotary 

Lions club 

Légion royale canadienne  ",https://www.ontario.ca/fr/page/trouvez-un-programme-dun-centre-de-vie-active-pour-personnes-agees-pres-de-chez-vous,Interne,les loisirs  ,Activités communautaires 
Association des centres pour aînés de l’Ontario  (site en anglais seulement) ,"Utilisez son localisateur cartographique pour trouver des programmes physiques, récréatifs et sociaux dans un centre près de chez vous. ",http://www.oacao.org/,Externe,les loisirs  ,Activités communautaires 
Seniors’ Centre Without Walls  (site en anglais seulement) ,Trouvez des activités collectives gratuites accessibles par téléphone qui s’adressent aux personnes âgées (d’au moins 50 ans) ou ayant un handicap qui les empêche de quitter leur domicile facilement.  ,http://www.oacao.org/programs/seniors-centre-without-walls/,Externe,les loisirs  ,Activités communautaires 
Programmes Découverte de Parcs Ontario,"Découvrez des programmes animés par du personnel, des activités autodirigées et des panneaux d’interprétation qui vous permettront d’explorer la nature. ",https://www.ontarioparks.com/discovery/fr,Externe,les loisirs  ,Activités communautaires 
FARFO : Fédération des aînés et des retraités francophones de l’Ontario,Bénéficiez de services en français pour personnes âgées ou retraitées (d’au moins 50 ans) notamment en matière de soins et de logement social.  ,https://farfo.ca/,Externe,les loisirs  ,Activités communautaires 
Conseil des arts de l’Ontario : artistes autochtones en milieu communautaire et scolaire – projets,"Présentez des demandes de subvention pour des projets visant à aider les artistes et les aînés autochtones à créer des expériences artistiques significatives, à organiser des ateliers dans les écoles et à transmettre un savoir et des compétences en matière d’art. ",https://www.arts.on.ca/programmes-de-subvention/artistes-autochtones-en-milieu-communautaire-et-sc?lang=fr-ca,Externe,les loisirs  ,Activités communautaires 
"Conseil des arts du Canada : programme Créer, connaître et partager","Présentez des demandes de subvention pour des artistes et des groupes d’artistes autochtones, des organismes artistiques dirigés par des autochtones et des organismes de soutien au développement artistique et culturel autochtone. ",https://conseildesarts.ca/financement/subventions/creer-connaitre-et-partager,Externe,les loisirs  ,Activités communautaires 
Egale  (site en anglais seulement) ,Trouvez des résultats de recherche et des webinaires sur des sujets liés à la communauté 2SLGBTQIA+ et renseignez-vous sur les efforts déployés par cet organisme au Canada pour en défendre la cause. ,https://egale.ca/,Externe,les loisirs  ,Activités communautaires 
The 519  (site en anglais seulement) ,Trouvez des programmes et des services pour personnes âgées 2SLGBTQIA+ dans ce centre de Toronto. ,https://www.the519.org/programs/category/older-2slgbtq/,Externe,les loisirs  ,Activités communautaires 
Senior Pride Network Toronto  (site en anglais seulement),Devenez membre gratuitement pour découvrir des programmes et des services pour personnes âgées 2SLGBTQIA+ d’au moins 50 ans à Toronto.  ,https://www.seniorpridenetwork.ca/,Externe,les loisirs  ,Activités communautaires 
Légion royale canadienne,"Utilisez son localisateur pour trouver une filiale de la Légion dans votre collectivité. La Légion parraine des programmes communautaires et apporte un soutien aux anciens combattants, à leurs personnes à charge et aux membres actifs des Forces canadiennes. ",https://www.legion.ca/fr/ce-que-nous-sommes,Externe,les loisirs  ,Activités communautaires 
Le Projet Mémoire,Découvrez comment réserver la visite d’orateurs ou assurer vous-même une intervention. Ce bureau organise la venue d’anciens combattants et de membres actifs des Forces armées canadiennes dans des écoles et à des événements communautaires à travers le pays afin qu’ils puissent partager leurs histoires en matière de service militaire.  ,https://www.leprojetmemoire.com/,Externe,les loisirs  ,Activités communautaires 
Bibliothèques publiques  (site en anglais seulement) ,"Trouvez des réunions, des webinaires et des discussions informelles sur divers sujets susceptibles de vous intéresser dans une bibliothèque près de chez vous. ",https://www.olservice.ca/,Externe,les loisirs  ,Activités communautaires 
211 Ontario,"Cherchez des programmes d’activités culturelles, récréatives et sociales près de chez vous. ",https://211ontario.ca/recherche/,Externe,les loisirs  ,Activités communautaires 
,"Astuces en matière d’exercice et de conditionnement physique  

L’activité physique joue un rôle important dans votre santé, votre bien-être et votre qualité de vie. Obtenez des astuces et des outils pour améliorer et préserver votre santé : 

Conseils pratiques pour les aînés (65 ans et plus)  

Directives canadiennes en matière de mouvement sur 24 h  

Physical Activity Toolkit: For Older Adults  (site en anglais seulement) 

Vieillir : bougez maintenant, pour un avenir en santé  

Portail sur le vieillissement optimal de McMaster : de l’information sur le vieillissement en santé 

Guide alimentaire canadien : une saine alimentation pour les aînés  

Initiative de promotion de l’exercice physique et de prévention des chutes 

Conseils bons pour le cerveau pour réduire votre risque de trouble neurocognitif  

Tout sur le sommeil : tout ce dont vous avez besoin afin de mieux comprendre le sommeil et son importance pour votre santé  

Une aventure sociale, c’est bon!  

Séparés, mais pas seuls : importance des liens sociaux à un âge avancé  

Une voix amicale  permet aux personnes âgées de discuter avec une personne sympathique et soucieuse de leur bien-être, sans attente ni jugement  

Trouvez des programmes d’exercice et d’activité près de chez vous : 

211ontario  

Programmes des centres de vie active pour personnes âgées ",,,les loisirs  ,Mener une vie active 
Ontario Seniors Games Association  (site en anglais seulement) ,"Si vous avez au moins 55 ans, cette association vous permettra de trouver un sport ou une activité dans le cadre desquels vous pourrez participer à des compétitions locales dans une atmosphère conviviale, avec la possibilité d’évoluer pour jouer à l’échelle provinciale et nationale. ",https://osga55plus.ca/,Externe,les loisirs  ,Mener une vie active 
Activités de Parcs Ontario,"Utilisez son localisateur de parcs pour trouver des activités locales (cyclisme, ornithologie et randonnée, par exemple).  ",https://www.ontarioparks.com/park-locator/fr,Externe,les loisirs  ,Mener une vie active 
Pêcher  ,"Découvrez ce que vous devez savoir avant d’aller pêcher. Si vous avez plus de 65 ans ou que vous avez un handicap, vous n’avez pas l’obligation de vous procurer une Carte Plein air ni un permis de pêche. ",https://www.ontario.ca/fr/page/pecher,Interne,les loisirs  ,Mener une vie active 
Chasser ,"Découvrez ce que vous devez savoir avant d’aller chasser en Ontario. Obtenez des renseignements notamment sur la procédure d’obtention d’un permis de chasse ou d’une Carte Plein air, le piégeage, la fauconnerie et le camping sur une terre de la Couronne. ",https://www.ontario.ca/fr/page/chasser,Interne,les loisirs  ,Mener une vie active 
Destination Ontario,Trouvez des ressources en matière de voyage ainsi que des endroits populaires et des activités à faire à travers l’Ontario. ,https://www.destinationontario.com/fr-ca,Externe,les loisirs  ,Voyager au Canada et à l’étranger 
Les voyageurs âgés,Trouvez des renseignements et des conseils utiles qui vous aideront à vous préparer en vue d’un voyage à l’extérieur du Canada.  ,https://voyage.gc.ca/voyager/sante-securite/voyageurs-ages?_ga=2.204004688.1395672629.1683544052-1677574397.1683544052,Externe,les loisirs  ,Voyager au Canada et à l’étranger 
Services couverts par l’Assurance-santé à l’étranger ,"Renseignez-vous sur les services couverts par l’Assurance-santé lorsque vous quittez le Canada de façon temporaire. 

Formulaire de demande de remboursement en cas de traitement hors de la province ou du pays 

Comment se faire rembourser des médicaments d’ordonnance pris en charge ",https://www.ontario.ca/fr/page/services-couverts-par-lassurance-sante-a-letranger,Interne,les loisirs  ,Voyager au Canada et à l’étranger 
Vivre ou voyager à l’étranger après la retraite,"Découvrez comment le temps que vous passez à l’extérieur du Canada peut avoir une incidence sur vos impôts, vos prestations et vos soins de santé. ",https://www.canada.ca/fr/agence-consommation-matiere-financiere/services/planification-retraite/voyager-etranger-retraite.html,Externe,les loisirs  ,Voyager au Canada et à l’étranger 
Faire du bénévolat en Ontario ,Trouvez des renseignements sur la façon de participer à des activités bénévoles. ,https://www.ontario.ca/fr/page/faire-du-benevolat-en-ontario,Interne,les loisirs  ,Bénévolat 
The Life Institute  (site en anglais seulement) ,"Trouvez un éventail de possibilités en matière de bénévolat : vous pourriez, par exemple, soit enseigner soit être hôtesse ou hôte de classe ou participer à la réalisation de tâches administratives, à la planification d’événements ou au travail d’un comité. ",https://thelifeinstitute.ca/page/volunteer,Externe,les loisirs  ,Bénévolat 
Fondation Trillium de l’Ontario,Faites du bénévolat en utilisant votre expertise et vos connaissances locales pour évaluer les demandes de subvention reçues par la fondation et recommander des projets appropriés en vue d’un financement. ,https://www.otf.ca/fr/qui-nous-sommes/benevolat,Externe,les loisirs  ,Bénévolat 
Croix-Rouge canadienne,"En tant que bénévole, vous pouvez apporter votre aide lors de situations d’urgence et de sinistres, siéger aux comités, appuyer le service à la clientèle ou encore aider aux tâches administratives. ",https://www.croixrouge.ca/benevolat?lang=fr-CA&_ga,Externe,les loisirs  ,Bénévolat 
Centraide,Utilisez votre expertise et vos connaissances locales pour contribuer à l’amélioration de votre collectivité dans le cadre d’un poste bénévole au sein d’un bureau près de chez vous. ,https://www.centraide.ca/how-we-help/find-your-uwc/,Externe,les loisirs  ,Bénévolat 
Bénévoles Canada,Consultez le répertoire de cet organisme pour trouver un centre d’action bénévole qui pourra vous renseigner sur les postes à pourvoir. ,https://volunteer.ca/Listings.php?ListType=VC_List_Public&MenuItemID=385&province=9&OrganizationName=&Action=Search&lang=fr,Externe,les loisirs  ,Bénévolat 
Brigade des bénévoles de l’Ontario,Inscrivez-vous comme bénévole dans la Brigade des bénévoles de l’Ontario pour venir en aide à votre collectivité en situation d’urgence. ,https://www.ontario.ca/fr/page/brigade-des-benevoles-de-lontario,Interne,les loisirs  ,Bénévolat 
Sa Majesté le Roi,Demandez des vœux pour une Canadienne ou un Canadien qui fête au moins ses 100 ans ou un couple qui fête au moins son 60e anniversaire de mariage ou d’union. ,https://www.gg.ca/fr/nous-joindre/voeux-anniversaire,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Gouverneure générale ou gouverneur général ,Demandez des vœux pour une Canadienne ou un Canadien qui fête au moins ses 90 ans ou un couple qui fête au moins son 50e anniversaire de mariage ou d’union. ,https://www.gg.ca/fr/nous-joindre/voeux-anniversaire,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Lieutenante-gouverneure ou lieutenant-gouverneur de l’Ontario,Demandez des vœux pour une Ontarienne ou un Ontarien qui fête au moins ses 90 ans ou un couple qui fête au moins son 50e anniversaire de mariage ou d’union. ,https://greetings.lgontario.ca/GreetingRequest.aspx,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Première ou premier ministre du Canada,Demandez un certificat de félicitations (pouvant être délivré tous les 5 ans) pour une personne qui fête au moins ses 65 ans ou un couple qui fête au moins son 25e anniversaire de mariage ou d’union.  ,https://www.pm.gc.ca/fr/nous-joindre/felicitations,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Première ou premier ministre de l’Ontario ,Demandez un certificat de félicitations pour une Ontarienne ou un Ontarien qui fête au moins ses 80 ans ou un couple qui fête au moins son 40e anniversaire de mariage ou d’union. ,https://www.certificates.premier.gov.on.ca/home,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Députés et députés provinciaux,Contactez vos députés locaux directement pour connaître les types de vœux qu’ils adressent. ,https://www.noscommunes.ca/members/fr/search,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Prix d’excellence pour les personnes âgées  ,"Découvrez comment nommer une personne âgée. Ce prix rend hommage aux personnes qui, après l’âge de 65 ans, apportent une contribution exceptionnelle à leur collectivité. Jusqu’à 20 personnes sont ainsi honorées chaque année. ",https://www.ontario.ca/fr/page/distinctions-et-prix-communaute#section-2,Interne,les loisirs  ,Rendre hommage aux personnes âgées
Prix de la personne âgée de l’année ,"Découvrez comment nommer une personne âgée. Ce prix est décerné par une municipalité pour rendre hommage à une personne âgée exceptionnelle qui, après l’âge de 65 ans, enrichit la vie sociale, culturelle ou citoyenne de sa collectivité. ",https://www.ontario.ca/fr/page/distinctions-et-prix-communaute#section-3,Interne,les loisirs  ,Rendre hommage aux personnes âgées
Mois des aînés  ,Renseignez-vous sur cette période spéciale pendant laquelle nous rendons hommage aux nombreuses contributions que les personnes âgées ont apportées à leurs collectivités dans l’ensemble de la province. Le Mois des aînés est célébré chaque année en juin. ,https://www.ontario.ca/fr/page/hommage-aux-personnes-agees-de-lontario,Interne,les loisirs  ,Rendre hommage aux personnes âgées
Journée internationale des personnes âgées des Nations Unies,Renseignez-vous sur ce jour spécial destiné à rendre hommage aux aînés qui ont aidé à bâtir notre pays et qui continuent à apporter une contribution précieuse à la société. Cette journée est célébrée chaque année le 1er octobre. ,https://www.un.org/fr/observances/older-persons-day,Externe,les loisirs  ,Rendre hommage aux personnes âgées
Donner une procuration ,Découvrez comment nommer une personne de confiance pour qu’elle prenne des décisions importantes concernant vos finances et les soins de santé à vous prodiguer en cas de besoin. ,https://www.ontario.ca/fr/page/donner-une-procuration,Interne,la sûreté et la sécurité,Besoins et services d’ordre juridique 
Barreau de l’Ontario,Trouvez soit une avocate ou un avocat soit une parajuriste autorisée ou un parajuriste autorisé pour déterminer vos droits et vos options. ,https://lso.ca/services-au-public/trouver-un-avocat-ou-un-parajuriste/service-de-reference-du-barreau?lang=fr-ca,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
Aide juridique Ontario ,"Aide juridique Ontario  

Disponible en fonction de votre situation financière, cette aide juridique vous permet de payer les frais de représentation d’une avocate ou d’un avocat dans le cadre d’une affaire juridique. ",https://www.legalaid.on.ca/fr/,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
ACE: Advocacy Centre for the Elderly (site en anglais seulement) ,"Si vous avez au moins 60 ans, accédez à des services juridiques dans la région du grand Toronto, et en dehors de Toronto si l’affaire en question est importante pour la communauté des aînés. ",https://www.acelaw.ca/,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
CLEO : Éducation juridique communautaire Ontario ,"Trouvez les renseignements nécessaires pour comprendre et exercer vos droits juridiques, notamment dans le domaine de la famille, du logement, de l’emploi et l’immigration. ",https://www.cleo.on.ca/fr,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
ARCH Disability Law Centre,Obtenez des conseils juridiques dans le domaine des droits des personnes handicapées. ,https://archdisabilitylaw.ca/fr/services-fr/,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
HALCO : HIV & AIDS Legal Clinic Ontario (site en anglais seulement) ,"Trouvez de nombreux services par le biais de cet organisme sans but lucratif, notamment une aide juridique gratuite si vous avez le VIH ou le sida.  ",https://www.halco.org/,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
Code des droits de la personne,"Découvrez comment ce code a été adopté pour interdire la discrimination fondée sur l’âge notamment dans les domaines de l’emploi, des services, des biens, des installations et des facilités de logement. ",https://www.ohrc.on.ca/fr/le-code-des-droits-de-la-personne-de-l%E2%80%99ontario,Externe,la sûreté et la sécurité,Besoins et services d’ordre juridique 
Bureau du tuteur et curateur public  ,"Découvrez comment le Bureau du tuteur et curateur public protège les intérêts juridiques, personnels et financiers de certains particuliers et de leur succession en Ontario. ",https://www.ontario.ca/fr/page/bureau-du-tuteur-et-curateur-public,Interne,la sûreté et la sécurité,Besoins et services d’ordre juridique 
,"Planification préalable des soins 

Ne tardez pas à prendre certaines décisions concernant les formalités de votre prise en charge si vous devenez incapable :  

Lisez la page Ce que tous les Canadiens âgés devraient savoir au sujet de la planification en cas d’éventuelle perte d’autonomie . 

Rendez-vous sur Advance Care Planning Ontario  (site en anglais seulement) pour trouver des outils utiles et vous renseigner sur le processus de planification préalable des soins. 

Contactez une Société Alzheimer locale pour savoir si elle propose des séminaires concernant la planification préalable des soins dans votre collectivité. 

Imprimez votre carte de portefeuille nommant votre mandataire spécial et complétez-la avec les renseignements importants en cas d’urgence. ",,,la sûreté et la sécurité,Planification préalable des soins 
Don d’organes et de tissus,Inscrivez votre consentement au don d’organes et de tissus pour aider les personnes en attente d’une greffe d’organe qui pourrait leur sauver la vie. ,https://soyezundonneur.ca/,Externe,la sûreté et la sécurité,Planification préalable des soins 
Protection du consommateur de l’Ontario  ,"Que ce soit avant, pendant ou après un achat, connaissez vos droits et obtenez les renseignements nécessaires pour vous protéger, notamment dans les cas suivants : 

Identification d’une arnaque ou d’une fraude 

Ventes à domicile et contrats d’entretien résidentiel 

Planification de funérailles et dispositions ",https://www.ontario.ca/fr/page/protection-du-consommateur-de-lontario,Interne,la sûreté et la sécurité,"Escroqueries, fraude et questions concernant les consommateurs "
Centre antifraude du Canada,Trouvez des renseignements sur l’impact des fraudes passées et courantes touchant la population canadienne. Vous pouvez également signaler une fraude ou un cybercrime. ,https://antifraudcentre-centreantifraude.ca/,Externe,la sûreté et la sécurité,"Escroqueries, fraude et questions concernant les consommateurs "
Commission des valeurs mobilières de l’Ontario,Protégez-vous contre la fraude. Cherchez une personne physique ou une société dans la base de données de la commission pour savoir si elle y est inscrite avant d’investir. ,https://www.osc.ca/fr/investisseurs/verifiez-avant-d-investir,Externe,la sûreté et la sécurité,"Escroqueries, fraude et questions concernant les consommateurs "
GérezMieuxVotreArgent.ca,Trouvez des outils impartiaux et indépendants qui vous aideront à prendre de meilleures décisions en matière de finances. ,https://www.gerezmieuxvotreargent.ca/,Externe,la sûreté et la sécurité,"Escroqueries, fraude et questions concernant les consommateurs "
Seniors Safety Line  (site en anglais seulement) ,"Si vous êtes une personne âgée et que vous êtes victime de mauvais traitements ou de négligence, parlez à une conseillère ou un conseiller pour obtenir un soutien affectif gratuit et confidentiel dans plus de 200 langues. Numéro sans frais : 1 866 299-1011. ",https://eapon.ca/seniors-safety-line/,Externe,la sûreté et la sécurité,Mauvais traitements à l’égard des personnes âgées
Information sur les mauvais traitements à l’égard des personnes âgées ,Informez-vous sur les types et les signes de mauvais traitements à l’égard des personnes âgées et sur ce qu’il faut faire si vous ou quelqu’un dans votre entourage en êtes victime. ,https://www.ontario.ca/fr/page/information-sur-les-mauvais-traitements-legard-des-personnes-agees,Interne,la sûreté et la sécurité,Mauvais traitements à l’égard des personnes âgées
Elder Abuse Prevention Ontario  (site en anglais seulement) ,Obtenez du soutien si vous êtes une personne âgée et que vous subissez des mauvais traitements ou trouvez simplement des renseignements et des webinaires sur le sujet.  ,https://eapon.ca/,Externe,la sûreté et la sécurité,Mauvais traitements à l’égard des personnes âgées
Action ontarienne contre la violence faite aux femmes  ,"Découvrez comment ce regroupement féministe et francophone d’organismes s’efforce de prévenir la violence faite aux femmes, fournit une formation continue à ses intervenantes et élabore des services ainsi que du matériel éducatif et de sensibilisation en français. ",https://actionontarienne.ca/,Externe,la sûreté et la sécurité,Mauvais traitements à l’égard des personnes âgées
,"9-1-1 

En cas d’urgence, composez le 9-1-1 pour entrer en communication avec la police, les pompiers ou les services ambulanciers. ",,,la sûreté et la sécurité,Préparation aux urgences 
Préparez-vous,"Découvrez les risques dans votre région, établissez un plan d’urgence pour votre domicile et préparez une trousse d’urgence. ",https://www.preparez-vous.gc.ca/index-fr.aspx,Externe,la sûreté et la sécurité,Préparation aux urgences 
En Alerte : système d’alerte d’urgence ,Vérifiez que votre téléphone peut recevoir des alertes importantes et susceptibles de sauver des vies. ,https://www.enalerte.ca/,Externe,la sûreté et la sécurité,Préparation aux urgences 
Gestion des situations d’urgence Ontario  ,Renseignez-vous sur la préparation de l’Ontario aux situations d’urgence ainsi que sur ses interventions et accédez à des ressources pour gérer ces situations et vous y préparer. ,https://www.ontario.ca/fr/page/gestion-des-situations-durgence,Interne,la sûreté et la sécurité,Préparation aux urgences 
Sécurité publique Canada,"Découvrez comment le gouvernement du Canada collabore avec d’autres ordres de gouvernement, des premiers intervenants, des groupes communautaires, le secteur privé et d’autres nations dans divers domaines, notamment la sécurité nationale, les stratégies frontalières, la lutte contre le crime, la gestion des urgences ainsi que d’autres initiatives en matière de sûreté et de sécurité. ",https://www.securitepublique.gc.ca/index-fr.aspx,Externe,la sûreté et la sécurité,Préparation aux urgences 
B.A.S.S.I.C. : calendrier Aînés en sécurité ,Téléchargez le calendrier Aînés en sécurité. Il vous donnera des astuces et des suggestions pour rester en sécurité et en mouvement à votre domicile et dans votre collectivité. ,https://www.bassic.ca/,Externe,la sûreté et la sécurité,Préparation aux urgences 
Prévention et protection contre les incendies ,"Découvrez comment protéger votre domicile, vos proches et vos biens contre les impacts du feu et trouvez les services de sécurité de votre collectivité. ",https://www.ontario.ca/fr/page/prevention-et-protection-contre-les-incendies,Interne,la sûreté et la sécurité,Préparation aux urgences 
