Resource title,Resource URL,Government supports/external,Tag 1,Tag 2,Tag 3,Tag 4,Priority
Ambulance services,https://www.health.gov.on.ca/en/public/publications/ohip/amb.aspx,Government supports,Healthcare and medication,Financial information and supports,Mental Health,,
Provincial Geriatrics Leadership Ontario,https://rgps.on.ca/,External,Healthcare and medication,Caregiving,Mental Health,,
Mental health and addictions,https://www.ontario.ca/page/find-mental-health-support,Government supports,Mental Health,Healthcare and medication,,,
Specialized Geriatric Mental Health Outreach Programs,https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Government supports,Mental Health,Healthcare and medication,,,
Inpatient and outpatient services at hospitals,https://www.ontario.ca/page/home-community-care,Government supports,Mental Health,Healthcare and medication,Caregiving,,
Centre for Addiction and Mental Health (CAMH),https://www.camh.ca/,External,Mental Health,Healthcare and medication,,,
"Canadian Mental Health Association (CMHA), Ontario",https://ontario.cmha.ca/,External,Mental Health,Healthcare and medication,,,
ConnexOntario,https://www.connexontario.ca/en-ca/,Government supports,Mental Health,Healthcare and medication,,,
Smoking cessation,https://www.ontario.ca/page/support-quit-smoking,Government supports,Mental Health,Healthcare and medication,,,
Fall prevention,https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Government supports,Healthcare and medication,Safety,Caregiving,,
Find a registered dietitian with Health Connect Ontario,https://healthconnectontario.health.gov.on.ca/static/guest/home,Government supports,Healthcare and medication,,,,
Eating well with Canada’s Food Guide,https://food-guide.canada.ca/en/,Government supports,Healthcare and medication,,,,
Dietitians of Canada,https://www.dietitians.ca/,External,Healthcare and medication,,,,
Hearing Care Counselling Program,https://www.chs.ca/,External,Healthcare and medication,Financial information and supports,Mental health,,
MedicAlert® Safely Home®,https://www.medicalert.ca/Products/All?lang=en,External,Healthcare and medication,Safety,Caregiving,,
Finding Your Way®,https://www.findingyourwayontario.ca/,External,Healthcare and medication,Safety,Caregiving,,Yes
Non-Insured Health Benefits (NIHB) for First Nations and Inuit,https://www.sac-isc.gc.ca/eng/1572537161086/1572537234517,Government supports,Healthcare and medication,Mental health,Financial information and supports,Indigenous supports ,
Aboriginal Health Access Centres (AHACs),https://www.allianceon.org/aboriginal-health-access-centres,External,Healthcare and medication,Mental health,Indigenous Supports ,,
Aboriginal Community Health Centres (ACHCs),https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Government supports,Healthcare and medication,Mental health,Indigenous supports ,,
Indigenous Interprofessional Primary Care Teams (IIPCTs),https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Government supports,Healthcare and medication,Mental health,Indigenous supports ,,
National Aboriginal Diabetes Program,https://nada.ca/,External,Healthcare and medication,Mental health,Indigenous supports ,,
Substance use treatment centres for First Nations and Inuit,https://www.sac-isc.gc.ca/eng/1576090254932/1576090371511,Government supports,Healthcare and medication,Mental health,Indigenous supports ,,
Rainbow Health Ontario (RHO),https://www.rainbowhealthontario.ca/,External,Healthcare and medication,Mental health,Education and lifelong learning,2SLGBTQIA+ supports ,
Veterans Independence Program,https://www.veterans.gc.ca/,Government supports,Healthcare and medication,Mental health,Financial information and supports,Veteran supports ,
SG Chapter: Finances,,,,,,,
Filing your tax return,https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program/individual-tax-filing-assistance.html,Government supports,Financial information and supports,,,,
