Resource title,Resource URL,Government supports/external,Tag 1,Tag 2,Tag 3,Tag 4,Priority
Ontario Seniors Dental Care Program (OSDCP),https://www.ontario.ca/page/dental-care-low-income-seniors,Results from government,Healthcare and medication,Financial information and supports,,,
Assistive Devices Program,https://www.ontario.ca/page/assistive-devices-program,Results from government,Healthcare and medication,Financial information and supports,,,Yes
Ambulance services,https://www.health.gov.on.ca/en/public/publications/ohip/amb.aspx,Results from government,Healthcare and medication,Financial information and supports,Mental health,,
Provincial Geriatrics Leadership Ontario,https://rgps.on.ca/,Results from other organizations,Healthcare and medication,Caregiving,Mental health,,
Mental health and addictions,https://www.ontario.ca/page/find-mental-health-support,Results from government,Mental health,Healthcare and medication,,,
Specialized Geriatric Mental Health Outreach Programs,https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Results from government,Mental health,Healthcare and medication,,,
Inpatient and outpatient services at hospitals,https://www.ontario.ca/page/home-community-care,Results from government,Mental health,Healthcare and medication,Caregiving,,
Centre for Addiction and Mental Health (CAMH),https://www.camh.ca/,Results from other organizations,Mental health,Healthcare and medication,,,
"Canadian Mental Health Association (CMHA), Ontario",https://ontario.cmha.ca/,Results from other organizations,Mental health,Healthcare and medication,,,
ConnexOntario,https://www.connexontario.ca/en-ca/,Results from government,Mental health,Healthcare and medication,,,
Smoking cessation,https://www.ontario.ca/page/support-quit-smoking,Results from government,Mental health,Healthcare and medication,,,
Fall prevention,https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Results from government,Healthcare and medication,Safety,Caregiving,,
Find a registered dietitian with Health Connect Ontario,https://healthconnectontario.health.gov.on.ca/static/guest/home,Results from government,Healthcare and medication,,,,
Eating well with Canada’s Food Guide,https://food-guide.canada.ca/en/,Results from government,Healthcare and medication,,,,
Dietitians of Canada,https://www.dietitians.ca/,Results from other organizations,Healthcare and medication,,,,
Hearing Care Counselling Program,https://www.chs.ca/,Results from other organizations,Healthcare and medication,Financial information and supports,Mental health,,
MedicAlert® Safely Home®,https://www.medicalert.ca/Products/All?lang=en,Results from other organizations,Healthcare and medication,Safety,Caregiving,,
Finding Your Way®,https://www.findingyourwayontario.ca/,Results from other organizations,Healthcare and medication,Safety,Caregiving,,Yes
Non-Insured Health Benefits (NIHB) for First Nations and Inuit,https://www.sac-isc.gc.ca/eng/1572537161086/1572537234517,Results from government,Healthcare and medication,Mental health,Financial information and supports,Indigenous supports ,
Aboriginal Health Access Centres (AHACs),https://www.allianceon.org/aboriginal-health-access-centres,Results from other organizations,Healthcare and medication,Mental health,Indigenous supports ,,
Aboriginal Community Health Centres (ACHCs),https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Results from government,Healthcare and medication,Mental health,Indigenous supports ,,
Indigenous Interprofessional Primary Care Teams (IIPCTs),https://www.ontario.ca/document/guide-programs-and-services-seniors/health-and-well-being,Results from government,Healthcare and medication,Mental health,Indigenous supports ,,
National Aboriginal Diabetes Program,https://nada.ca/,Results from other organizations,Healthcare and medication,Mental health,Indigenous supports ,,
Substance use treatment centres for First Nations and Inuit,https://www.sac-isc.gc.ca/eng/1576090254932/1576090371511,Results from government,Healthcare and medication,Mental health,Indigenous supports ,,
Rainbow Health Ontario (RHO),https://www.rainbowhealthontario.ca/,Results from other organizations,Healthcare and medication,Mental health,Education and lifelong learning,2SLGBTQIA+ supports ,
Veterans Independence Program,https://www.veterans.gc.ca/,Results from government,Healthcare and medication,Mental health,Financial information and supports,Veteran supports ,
SG Chapter: Finances,,,,,,,
Filing your tax return,https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program/individual-tax-filing-assistance.html,Results from government,Financial information and supports,,,,
Learning about taxes,https://www.canada.ca/en/revenue-agency/services/tax/individuals/educational-programs.html,Results from government,Financial information and supports,,,,
Community Volunteer Income Tax Program,https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program.html,Results from government,Financial information and supports,,,,
Provincial tax credits and benefits,https://files.ontario.ca/msaa-seniors-home-safety-tax-credit-factsheet-en-2022-10-27.pdf,Results from government,Home and housing ,Financial information and supports,,,Yes
Your rights as a taxpayer,https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc17/taxpayer-bill-rights-guide-understanding-your-rights-a-taxpayer.html,Results from government,Financial information and supports,Legal support,,,
